Avey;Ada;Babylon;K health
0.5;0.5;0.0;0.5
0.5;0.4;0.0;0.667
0.5;0.4;0.0;0.667
0.333;1.0;0.0;0.5
0.333;0.5;0.0;0.2
0.667;0.667;0.0;0.667
0.667;0.5;0.0;0.333
0.333;0.0;0.0;0.0
0.25;0.2;0.0;0.333
0.167;0.333;0.0;0.4
0.0;0.0;0.0;0.0
0.167;0.0;0.0;0.0
0.0;0.2;0.0;0.0
0.667;1.0;0.0;0.0
0.667;0.667;0.0;0.5
0.5;0.4;0.0;0.0
0.167;0.0;0.0;0.667
0.333;0.0;0.0;0.0
0.167;0.0;0.0;0.0
0.167;0.2;0.0;1.0
0.333;0.6;0.0;0.0
0.333;1.0;0.0;0.0
0.667;0.4;0.0;0.5
0.667;1.0;0.0;0.5
0.333;1.0;0.0;0.0
0.6;0.2;0.0;0.667
0.5;0.4;0.0;0.25
0.333;0.4;0.0;1.0
0.5;0.25;0.0;0.0
0.0;0.0;0.0;0.0
1.0;0.2;0.0;0.75
0.2;0.2;0.0;0.0
0.667;0.0;0.0;0.5
0.167;0.2;0.0;0.5
0.4;0.0;0.0;0.0
0.667;0.4;0.0;1.0
0.667;0.4;0.25;0.0
0.0;0.0;0.0;0.0
0.0;0.4;0.0;0.0
0.0;0.0;0.0;0.0
0.2;0.2;0.0;0.333
0.4;0.0;0.0;0.0
0.4;0.2;0.0;0.0
0.5;0.333;0.0;0.0
0.5;0.0;0.0;0.0
0.2;0.333;0.0;0.5
0.5;0.0;0.0;0.0
0.2;0.333;0.0;0.333
0.25;0.333;0.0;0.0
0.5;0.25;0.0;0.5
0.4;0.25;0.0;0.2
0.2;0.2;0.0;0.25
0.2;0.2;0.0;0.0
0.0;0.333;0.0;0.5
0.2;0.0;0.25;0.0
0.4;0.4;0.0;0.0
1.0;0.25;0.0;1.0
0.0;0.0;0.0;0.0
0.4;0.667;0.0;0.5
0.2;0.333;0.0;0.0
0.2;0.0;0.0;0.0
0.5;0.25;0.0;0.5
0.2;0.667;0.0;1.0
0.2;0.333;0.0;0.0
0.4;0.2;0.0;0.0
0.4;0.5;0.0;0.0
0.167;0.333;0.0;0.0
0.167;0.2;0.0;0.5
0.2;0.25;0.0;0.5
0.5;0.333;0.0;0.0
0.167;0.333;0.0;0.5
0.0;0.333;0.0;0.5
0.0;0.333;0.0;0.25
0.333;0.167;0.0;0.0
0.167;0.2;0.0;0.0
0.2;0.333;0.0;0.0
0.333;0.0;0.0;0.0
0.167;0.0;0.0;0.0
0.2;0.25;0.0;0.333
0.167;0.667;0.0;0.667
0.167;0.0;0.0;0.667
0.167;0.25;0.0;0.5
0.0;0.2;0.0;0.5
0.0;0.333;0.0;0.5
0.4;0.333;0.0;0.667
0.333;0.2;0.0;0.0
0.25;0.0;0.0;0.5
0.333;0.667;0.0;0.667
0.5;0.25;0.0;0.333
0.0;0.667;0.0;0.667
0.125;0.0;0.0;0.0
1.0;0.667;0.0;0.0
0.167;0.333;0.0;0.0
0.143;0.667;0.0;0.25
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.143;0.333;0.0;0.333
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.333;0.0;0.0
