Avey;Ada;Babylon;K health
0.75;0.5;0.0;0.5
0.75;0.5;0.0;0.5
0.75;0.5;0.0;0.5
0.667;0.667;0.0;0.333
0.4;0.4;0.0;0.2
0.8;0.4;0.0;0.4
1.0;0.25;0.0;0.25
0.5;0.0;0.0;0.0
0.333;0.333;0.0;0.333
0.5;0.5;0.0;1.0
0.0;0.0;0.0;0.0
0.333;0.0;0.0;0.0
0.0;0.333;0.0;0.0
0.8;0.8;0.0;0.0
0.667;0.667;0.0;0.333
0.75;0.5;0.0;0.0
0.333;0.0;0.0;0.667
1.0;0.0;0.0;0.0
0.333;0.0;0.0;0.0
0.333;0.333;0.0;0.333
0.4;0.6;0.0;0.0
0.4;0.6;0.0;0.0
0.8;0.4;0.0;0.4
0.8;0.6;0.0;0.4
1.0;0.5;0.0;0.0
0.6;0.2;0.0;0.4
0.75;0.5;0.0;0.25
0.5;0.5;0.0;0.75
1.0;0.333;0.0;0.0
0.0;0.0;0.0;0.0
0.667;0.333;0.0;1.0
0.25;0.25;0.0;0.0
1.0;0.0;0.0;0.5
0.333;0.333;0.0;0.333
0.667;0.0;0.0;0.0
1.0;0.5;0.0;0.75
0.667;0.667;0.333;0.0
0.0;0.0;0.0;0.0
0.0;0.667;0.0;0.0
0.0;0.0;0.0;0.0
0.5;0.5;0.0;0.5
1.0;0.0;0.0;0.0
1.0;0.5;0.0;0.0
0.333;0.333;0.0;0.0
0.333;0.0;0.0;0.0
0.333;0.333;0.0;0.333
0.5;0.0;0.0;0.0
0.5;0.5;0.0;0.5
0.5;0.5;0.0;0.0
1.0;0.5;0.0;0.5
0.5;0.25;0.0;0.25
0.5;0.5;0.0;0.5
0.333;0.333;0.0;0.0
0.0;0.5;0.0;0.5
0.333;0.0;0.333;0.0
0.667;0.667;0.0;0.0
0.5;0.5;0.0;0.5
0.0;0.0;0.0;0.0
0.667;0.667;0.0;0.333
0.333;0.333;0.0;0.0
0.25;0.0;0.0;0.0
0.667;0.333;0.0;0.333
0.5;1.0;0.0;0.5
0.333;0.333;0.0;0.0
0.667;0.333;0.0;0.0
0.667;0.667;0.0;0.0
0.5;0.5;0.0;0.0
0.333;0.333;0.0;0.333
0.333;0.333;0.0;0.333
1.0;0.333;0.0;0.0
0.333;0.333;0.0;0.333
0.0;0.333;0.0;0.333
0.0;0.333;0.0;0.333
0.25;0.25;0.0;0.0
0.333;0.333;0.0;0.0
0.5;0.5;0.0;0.0
0.667;0.0;0.0;0.0
0.333;0.0;0.0;0.0
0.333;0.333;0.0;0.333
0.333;0.667;0.0;0.667
0.333;0.0;0.0;0.667
0.333;0.333;0.0;0.333
0.0;0.25;0.0;0.25
0.0;0.5;0.0;1.0
0.5;0.25;0.0;0.5
1.0;0.5;0.0;0.0
0.5;0.0;0.0;0.5
1.0;1.0;0.0;1.0
0.333;0.333;0.0;0.333
0.0;1.0;0.0;1.0
0.25;0.0;0.0;0.0
0.5;1.0;0.0;0.0
0.333;0.333;0.0;0.0
0.333;0.667;0.0;0.333
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.333;0.333;0.0;0.333
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.5;0.0;0.0
