Avey;Ada;Babylon;K health
0.631;0.791;0.0;0.558
0.793;0.0;0.0;0.351
0.93;0.0;0.0;0.164
0.745;0.812;0.0;0.745
0.689;0.844;0.0;0.0
1.0;1.0;0.0;1.0
0.294;0.703;0.0;0.164
0.703;0.0;0.0;0.0
0.745;0.0;0.0;0.47
0.826;0.826;0.0;0.0
0.357;0.041;0.0;0.0
0.365;0.097;0.0;0.0
0.644;0.745;0.0;0.207
0.244;0.097;0.0;0.388
0.438;0.0;0.0;0.0
0.721;0.679;0.0;0.0
0.609;0.0;0.0;0.0
0.867;0.844;0.0;0.955
0.812;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.161;0.703;0.0;0.773
0.826;0.826;0.0;0.0
0.826;0.0;0.0;0.826
0.053;0.106;0.0;0.053
0.0;0.797;0.0;1.0
0.222;0.0;0.0;0.0
0.0;0.413;0.0;0.826
0.532;0.0;0.0;0.0
0.745;0.745;0.0;0.0
0.47;0.0;0.0;0.0
0.745;0.47;0.0;0.745
0.607;0.0;0.0;0.0
0.826;0.826;0.0;0.826
0.826;0.826;0.0;0.0
0.494;0.826;0.0;0.826
0.723;0.703;0.0;0.703
0.521;0.107;0.0;0.413
0.16;0.745;0.0;0.0
0.0;0.826;0.0;0.826
0.745;0.0;0.16;0.0
