Avey;Ada;Symptomate;Babylon
0.89;0.791;0.558;0.0
0.933;0.773;0.703;0.0
0.77;0.34;0.014;0.0
0.777;0.903;0.582;0.0
0.796;0.578;0.582;0.0
0.628;1.0;0.928;0.0
0.857;0.679;0.679;0.0
0.745;0.745;0.745;0.0
1.0;0.98;0.771;0.0
1.0;0.417;0.366;0.0
0.679;0.441;0.449;0.0
0.269;0.0;0.0;0.0
1.0;0.356;0.0;0.0
0.972;1.0;0.745;0.0
0.797;0.826;0.294;0.0
0.817;0.834;0.734;0.0
0.472;0.784;0.736;0.0
0.607;0.703;0.51;0.0
0.933;0.98;0.0;0.0
0.973;0.328;0.0;0.0
0.867;0.141;0.443;0.0
0.791;0.0;0.0;0.0
0.47;0.0;0.16;0.0
0.732;0.791;0.703;0.0
0.957;0.303;0.0;0.0
