Case # 1 resp;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Acute bronchitis; pulmonary edema; acute bronchitis;; upper respiratory infection
 Asthma; acute bronchitis; common cold;; asthma
 Common cold; pericardial effusion; pneumonia;; acute bronchitis
 Influenza; common cold; acute laryngitis;; pneumonia
; Asthma;;;
; coronavirus disease 2019;;;
;;;;
;;;;
Case # 2 Cardio;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Unstable angina; unstable angina; unstable angina;;myocardial infarction
 Myocardial infarction; myocardial infraction;myocardial infarction;; musculoskeletal chest pain
 Stable angina; stable angina; collasped lung;; unstable angina
 Pericardial effusion; pericardial effusion; intercostal muscle strain;;
; variant angina; pectoral strain;;
; asthma;;;
;;;;
;;;;
;;;;
Case # 3 Cardio;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Aortic dissection; aortic dissection; unstable angina;; musculoskeletal chest pain
 Unstable angina; unstable angina;myocardial infarction;;myocardial infarction
 Myocardial infarction; myocardial infraction; acute leaking aortic heart valve;; unstable angina
 Pulmonary edema; pulmonary edema; collapsed lung;;
; pulmonary embolism;heart failure;;
; valvular heart disease;;;
;;;;
;;;;
Case # 4 Resp;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Asthma;asthma; asthma;; asthma
 Emphysema;emphysema; chronic bronchitis;; musculoskeletal chest pain
 Chronic bronchitis; valvular heart disease;;;
; heart failure;;;
; pericardial effusion;;;
; acute bronchitis;;;
;;;;
;;;;
;;;;
;;;;
Case # 5 Cardio;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Heart failure; heart failure;heart failure;;heart failure
 Cardiac tamponade; valvular heart disease; acute biventricular heart failure;; pulmonary embolism
 Pericardial effusion; anemia; cardiac tamponade;; COPD exacerbation
 Mitral regurgitation; pulmonary edema; cardiogenic shock;;myocardial infarction
 Pulmonary edema; chronic obstructive pulmonary disease;;; unstable angina
; hypertrophic obstructive cardiomyopathy;;;
;;;;
;;;;
;;;;
Case # 6 Cardio;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Chronic obstructive pulmonary disease; chronic obstructive pulmonary disease; chronic obstructive pulmonary disease;; chronic obstructive pulmonary disease
 Pulmonary edema; asthma; heart failure;; heart failure
 Heart failure; heart failure; chronic bronchitis;; pleural effusion
 Pericardial effusion; valvular heart disease;;;
 Asthma; cardiac tamponade;;;
; pulmonary edema;;;
;;;;
;;;;
Case # 7 Cardio;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 acute pericarditis; pulmonary embolism; acute pericarditis;; musculoskeletal chest pain
 Pneumothorax; pneumothorax; boerhaave syndrome;; pneumonia
 Pericardial effusion; pericardial effusion;;; pneumothorax
 Aortic dissection;acute pericarditis;;;
; pulmonary edema;;;
; aortic dissection;;;
;;;;
;;;;
Case # 8 Cardio;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Rheumatic fever; rheumatic fever; zika virus disease;;
 Transient synovitis; systemic lupus erythromatosus; reactive arthritis;;
Juvenile idiopathic arthritis; leukemia; polyarticular septic arthritis;;
 systemic lupus erythromatosus; tennis elbow; flu;;
; acute interstitial nephritis; chikugunya;;
; brucellosis;;;
;;;;
;;;;
Case # 9 Cardio;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Stable angina; stable angina; unstable angina;; heart attack
 Left heart failure; myocardial infraction; stable angina;; stable angina
 Myocardial infarction; unstable angina; heart attack;; unstable angina
; variant angina; inflammation of rib cartilage;;
;; acute pericarditis;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 10 GI;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Acute appendicitis; acute appendicitis; acute appendicitis;; acute appendicitis
 Renal colic; peptic ulcer disease; cambylobacter gastroenteritis;; food poisoning
; acute pancreatitis; acute abdominal pain without specific cause;; acute cholecystitis
; acute cholecystitis;;; Renal colic
; acute mesentric ischemia;;; pancreatitis
; cholelithiasis;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 21 Hematology;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Antiphospholipid syndrome;; endometriosis;;
 Acquired thrombophilia;; systemic lupus erythromatosus;;
 Uterine abnormalities;; scarring in the abdomen and pelvis;;
;; miscarriage;;
;;;;
;;;;
;;;;
;;;;
Case # 22 Hematology;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Aplastic anemia; aplastic anemia; hepatocellular carcinoma;; chronic obstructive pulmonary disease
 Myelodysplastic syndrome; leukemia; vitamin c deficiency;; fatigue
 Myeloproliferative neoplasm; pneumonia; hepatorenal syndrome;; congestive heart failure
; infective endocarditis; haemophilia;; cardiac arrythmias
; pericardial effusion; liver cirrhosis , unspecific;; aortic valve stenosis
; polycythemia vera;;;
;;;;
;;;;
Case # 23 Resp;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Cystic fibrosis;; acquired zinc deficiency;;
 Primary ciliary dyskinesia;; hypogammaglobulinaemia;;
 Severe combined immunodeficiency;; rickets;;
;; cystic fibrosis;;
;; poor growth in a child;;
;;;;
;;;;
;;;;
Case # 24 Resp;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Covid-19; pneumonia; Covid-19;; upper respiratory infection
 Pneumonia; influenza; influenza;; infleunza
 Influenza; pulmonary embolism; common cold;;
 Common cold; pericardial effusion; pneumonia;;
 Acute bronchitis; common cold;;;
; Covid-19;;;
;;;;
Case # 25 Resp;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Obstructive sleep apnea; obstructive sleep apnea;obstructive sleep apnea;; obstructive sleep apnea
 Upper airway narrowing; acomegaly; central sleep apnea;; upper respiratory infection
 GERD; Upper airway narrowing; Upper airway narrowing;;
;;;;
;;;;
;;;;
;;;;
;;;;
Case # 26 GI;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Chronic pancreatitis; pancreatic cancer; chronic gastritis;; peptic ulcer disease
 Pancreatic cancer; chronic pancreatitis; gastroparesis;; gastritis
 Chronic Gastritis; myocardial infraction; chronic pancreatitis;;
 Gastric cancer; gastric cancer; stomach cancer;;
; mallory-weis syndrome; epigastric pain syndrome;;
; cholilithiasis;;;
;;;;
Case # 27 GI;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Celiac disease; celiac disease; acquired zinc deficiency;; iron deficiency anemia
 Irritable bowel syndrome; cronkhite canada syndrome; folate deficiency;; celiac disease
 Crohn's disease; adrenal insufficiency; bowel cancer;; crohn's disease
; chronic pancreatitis; iron deficiency anemia;;
; pancreatic cancer; coeliac disease;;
; diabetes mellitus;;;
;;;;
;;;;
Case # 28 Endo;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
 Diabetic ketoacidosis; diabetic ketoacidosis; bladder infection;;
 Diabetes Mellitus; hyperosmolar hyperglycemic nonketotoc state; primary hyperparathyroidism;;
; diabetes mellitus; pregnancy;;
; cystitis;;;
; heart failure;;;
; multiple sclerosis;;;
;;;;
;;;;
Case # 29 Derma;;;;
Gold standard ddx;Avey;Ada;Babylon;K health
